date,user,product,price
20260209,1384823891,厨具,1818
20260209,1384823891,骨雕,824
20260209,1384823891,矿钻,2200
20260209,1384823891,罐头,1454
20260209,1384823891,水培,2026
20260209,1384823891,口服,1723
20260209,1384823891,幼苗,2637
20260209,1384823891,髀石,1594
20260209,1384823891,矿镐,3644
20260209,1384823891,晶块,1832
20260209,1384823891,头盔,2136
20260209,1384823891,积木,1836
20260209,1814103509,,1898
20260209,1814103509,,2285
20260209,1814103509,,2264
20260209,1814103509,,1341
20260209,1814103509,,2329
20260209,1814103509,,2711
20260209,1814103509,,2920
20260209,1814103509,,2599
20260209,1814103509,,2337
20260209,1814103509,,1504
20260209,1814103509,,2520
20260209,1814103509,,2060
20260209,1195864544,厨具,1720
20260209,1195864544,骨雕,2663
20260209,1195864544,矿钻,1981
20260209,1195864544,罐头,1852
20260209,1195864544,水培,1446
20260209,1195864544,幼苗,2046
20260209,1195864544,髀石,480
20260209,1195864544,晶块,2022
20260209,1435448461,,1529
20260209,1435448461,,1909
20260209,1435448461,,3415
20260209,1435448461,,1435
20260209,1435448461,,2842
20260209,1435448461,,2200
20260209,1435448461,,1894
20260209,1435448461,,1841
20260209,1435448461,,3527
20260209,1435448461,,3002
20260209,1435448461,,2000
20260209,1435448461,,1600
20260209,1375038163,,1558
20260209,1375038163,,1452
20260209,1375038163,,3146
20260209,1375038163,,2846
20260209,1375038163,,2200
20260209,1375038163,,1892
20260209,1375038163,,2503
20260209,1375038163,,1815
20260209,1375038163,,2460
20260209,1375038163,,1946
20260209,1375038163,,2047
20260209,1375038163,,1800
20260209,1254323086,,1143
20260209,1254323086,,2458
20260209,1254323086,,3696
20260209,1254323086,,2000
20260209,1254323086,,1541
20260209,1254323086,,2250
20260209,1254323086,,3428
20260209,1254323086,,1874
20260209,1254323086,,2282
20260209,1254323086,,2074
20260209,1254323086,,2271
20260209,1254323086,,2051
20260209,1225882717,,2200
20260209,1225882717,,1600
20260209,1225882717,,2281
20260209,1225882717,,1993
20260209,1225882717,,2453
